date,chrome_android-version,chrome_android-interop-2023-events,chrome_android-interop-2024-layout,chrome_android-interop-2025-anchor-positioning,chrome_android-interop-2025-backdrop-filter,chrome_android-interop-2025-core-web-vitals,chrome_android-interop-2025-details,chrome_android-interop-2025-modules,chrome_android-interop-2025-navigation,chrome_android-interop-2025-remove-mutation-events,chrome_android-interop-2025-scope,chrome_android-interop-2025-scrollend,chrome_android-interop-2025-storageaccess,chrome_android-interop-2025-textdecoration,chrome_android-interop-2025-urlpattern,chrome_android-interop-2025-view-transitions,chrome_android-interop-2025-webassembly,chrome_android-interop-2025-webcompat,chrome_android-interop-2025-webrtc,chrome_android-interop-2025-writingmodes,firefox_android-version,firefox_android-interop-2023-events,firefox_android-interop-2024-layout,firefox_android-interop-2025-anchor-positioning,firefox_android-interop-2025-backdrop-filter,firefox_android-interop-2025-core-web-vitals,firefox_android-interop-2025-details,firefox_android-interop-2025-modules,firefox_android-interop-2025-navigation,firefox_android-interop-2025-remove-mutation-events,firefox_android-interop-2025-scope,firefox_android-interop-2025-scrollend,firefox_android-interop-2025-storageaccess,firefox_android-interop-2025-textdecoration,firefox_android-interop-2025-urlpattern,firefox_android-interop-2025-view-transitions,firefox_android-interop-2025-webassembly,firefox_android-interop-2025-webcompat,firefox_android-interop-2025-webrtc,firefox_android-interop-2025-writingmodes,interop-interop-2023-events,interop-interop-2024-layout,interop-interop-2025-anchor-positioning,interop-interop-2025-backdrop-filter,interop-interop-2025-core-web-vitals,interop-interop-2025-details,interop-interop-2025-modules,interop-interop-2025-navigation,interop-interop-2025-remove-mutation-events,interop-interop-2025-scope,interop-interop-2025-scrollend,interop-interop-2025-storageaccess,interop-interop-2025-textdecoration,interop-interop-2025-urlpattern,interop-interop-2025-view-transitions,interop-interop-2025-webassembly,interop-interop-2025-webcompat,interop-interop-2025-webrtc,interop-interop-2025-writingmodes,revision,metadata-revision
2025-02-14T00:45:24.934000+00:00,135.0.7017.0,880,751,770,306,947,947,795,942,1000,906,1000,628,911,750,202,400,911,680,390,137.0a1-nightly,932,957,173,813,563,567,107,7,400,115,916,659,991,1,64,400,749,808,824,837,720,169,306,548,514,107,4,400,115,916,583,909,1,35,500,684,601,385,ecebb3dd9d2e1d60df3101edf06f013bd45b444d,f96f85cd5c9b91b0ef5b3370a880a8bb5b6683a6
2025-02-15T01:51:42.599000+00:00,135.0.7019.0,880,748,762,333,938,894,795,937,1000,937,1000,628,911,750,213,400,910,680,406,137.0a1-nightly,932,957,173,813,563,567,107,7,400,115,916,659,991,1,64,400,749,808,824,837,716,169,333,556,488,107,4,400,115,916,583,909,1,39,500,680,601,402,1b9dd3dfaf40e254f104d79077b4ee27ff1fed25,f96f85cd5c9b91b0ef5b3370a880a8bb5b6683a6
2025-02-17T02:40:28.879000+00:00,135.0.7020.0,880,755,770,373,930,921,795,942,1000,937,1000,628,911,750,208,400,908,680,395,137.0a1-nightly,932,957,173,813,571,567,107,7,400,115,916,659,991,1,64,400,749,808,824,837,722,169,373,539,488,107,4,400,115,916,583,909,1,39,500,680,601,390,4ea48fec4b3c96437838c2fd5c4436d0a1b7a547,f96f85cd5c9b91b0ef5b3370a880a8bb5b6683a6
2025-02-18T00:31:38.197000+00:00,135.0.7021.0,873,750,758,373,914,921,795,942,1000,906,1000,628,911,750,216,400,898,680,390,137.0a1-nightly,932,957,173,813,563,567,107,7,400,115,916,659,991,1,64,400,749,332,824,829,718,169,373,531,514,107,4,400,84,916,583,909,1,39,500,679,332,385,09b2cb43d8dbfb5b3e960f8808ecfdf17826d80d,f96f85cd5c9b91b0ef5b3370a880a8bb5b6683a6
2025-02-20T01:24:27.569000+00:00,135.0.7025.0,873,746,770,346,922,947,784,942,1000,937,1000,628,911,750,209,400,727,680,406,137.0a1-nightly,932,957,173,813,571,567,118,7,400,115,916,659,991,1,64,400,577,808,824,829,714,169,346,556,514,118,4,400,115,916,583,909,1,39,500,523,601,402,b8a7a402361fdb7e6a1cc69b44943cfdb9a4a788,f96f85cd5c9b91b0ef5b3370a880a8bb5b6683a6
2025-02-22T01:52:57.400000+00:00,135.0.7029.0,873,754,762,373,947,938,784,942,1000,937,1000,628,911,750,209,400,727,680,385,137.0a1-nightly,932,957,173,813,563,567,118,7,400,115,916,659,991,1,64,400,577,808,824,829,722,169,373,548,514,118,4,400,115,916,583,909,1,39,500,523,601,379,49fb90991e7d13ec8c71bde510c832edbb56b18e,f96f85cd5c9b91b0ef5b3370a880a8bb5b6683a6
2025-02-22T19:54:41.418000+00:00,135.0.7031.0,873,747,766,346,952,868,784,937,1000,937,1000,628,911,750,202,400,727,680,401,137.0a1-nightly,932,958,173,813,571,567,118,7,400,115,916,659,991,1,64,400,577,808,824,829,717,169,346,554,488,118,4,400,115,916,583,909,1,39,500,523,601,396,3250a8d86c26f1e194fda2e8a13c2a83f0efda58,f96f85cd5c9b91b0ef5b3370a880a8bb5b6683a6
2025-02-25T00:46:31.141000+00:00,135.0.7035.0,873,747,766,360,922,947,784,942,1000,937,1000,628,911,750,205,400,709,680,401,137.0a1-nightly,932,958,173,813,563,567,118,7,400,115,916,659,991,1,64,400,577,808,824,829,716,169,360,548,514,118,4,400,115,916,583,909,1,39,500,523,601,396,092e1df62b17a27e7658334ee585c102fa25478d,f96f85cd5c9b91b0ef5b3370a880a8bb5b6683a6
2025-02-27T02:11:42.447000+00:00,135.0.7039.0,880,751,759,373,930,894,784,942,1000,906,1000,655,911,750,205,400,727,680,390,137.0a1-nightly,932,958,147,813,571,567,118,7,400,115,916,659,991,1,64,400,577,808,824,837,719,143,373,548,462,118,4,400,84,916,610,909,1,39,500,523,601,385,e50a7c2776a7304f4ef323657319d1a9116ad022,f96f85cd5c9b91b0ef5b3370a880a8bb5b6683a6
2025-03-04T00:20:39.728000+00:00,135.0.7049.0,873,750,747,346,930,921,784,940,1000,937,1000,696,911,750,213,400,709,680,395,138.0a1-nightly,932,958,147,813,563,567,118,7,400,812,916,719,1000,1,64,400,577,808,848,829,719,143,346,548,488,118,4,400,781,916,651,911,1,39,500,504,601,413,81ac81e04240623c165b364accaac6205f33bbd9,f96f85cd5c9b91b0ef5b3370a880a8bb5b6683a6
2025-04-25T00:52:06.245000+00:00,137.0.7145.0,880,769,753,378,950,947,784,943,1000,937,1000,674,911,733,219,400,717,181,455,139.0a1-nightly,932,960,147,824,717,815,989,4,1000,812,928,719,1000,1,44,653,877,801,987,837,738,147,378,692,763,774,4,1000,781,928,628,911,1,41,500,606,179,448,a2f37cdddaa70de9718fbabf21edf45ff14e2200,f96f85cd5c9b91b0ef5b3370a880a8bb5b6683a6
2025-04-26T21:32:36.776000+00:00,137.0.7148.0,880,770,758,378,950,947,784,943,1000,937,1000,674,911,733,230,400,717,181,461,139.0a1-nightly,932,960,147,824,717,815,989,4,1000,812,928,719,1000,1,505,653,877,332,987,837,739,147,378,692,763,774,4,1000,781,928,628,911,1,200,500,606,179,454,cae0369c7e2b6b4c6568843f73c7e1a5a3aae9b8,f96f85cd5c9b91b0ef5b3370a880a8bb5b6683a6
2025-04-29T02:25:24.627000+00:00,137.0.7151.0,880,770,758,378,950,947,784,943,1000,937,1000,674,911,733,220,500,717,181,455,140.0a1-nightly,908,960,147,824,717,815,989,4,1000,812,928,719,1000,1,508,816,877,801,987,837,739,147,378,692,763,774,4,1000,781,928,628,911,1,193,500,606,179,448,1d1ca6bbce33f961f05f87b7765e4720ec916d11,f96f85cd5c9b91b0ef5b3370a880a8bb5b6683a6
2025-05-10T07:43:52.904000+00:00,138.0.7173.0,904,768,753,378,950,947,784,943,1000,937,1000,674,911,733,220,500,717,181,455,140.0a1-nightly,924,960,147,824,890,815,989,4,1000,812,928,719,1000,1,606,816,877,801,987,853,738,147,378,865,763,774,4,1000,781,928,628,911,1,197,500,606,179,448,71cfdb5b75d3e350e8e7e34df3732c17c3c49aa4,f96f85cd5c9b91b0ef5b3370a880a8bb5b6683a6
2025-05-25T21:56:58.040000+00:00,138.0.7202.0,892,769,756,378,891,947,777,943,1000,937,1000,674,911,733,225,500,729,196,461,140.0a1-nightly,928,971,147,824,898,815,1000,4,1000,812,928,954,1000,1,613,816,877,771,987,856,748,147,378,823,763,777,4,1000,781,928,628,911,1,213,500,606,193,454,cef176257c341ca4eae7f2d898d217c8717e217b,f96f85cd5c9b91b0ef5b3370a880a8bb5b6683a6
2025-05-26T18:12:49.072000+00:00,138.0.7204.0,892,770,758,378,883,947,777,943,1000,937,1000,674,911,733,235,500,729,196,461,141.0a1-nightly,928,971,147,824,898,815,1000,4,1000,812,928,954,1000,1,613,816,877,771,987,856,749,147,378,823,763,777,4,1000,781,928,628,911,1,219,500,606,193,454,e1b27be06b43787a001b7297c4e0fabdd276560f,f96f85cd5c9b91b0ef5b3370a880a8bb5b6683a6
2025-05-28T01:45:53.054000+00:00,139.0.7205.0,892,768,753,378,949,947,777,943,1000,937,1000,674,911,733,236,500,729,196,461,141.0a1-nightly,928,971,147,824,931,815,1000,4,1000,812,928,954,1000,1,617,816,986,771,987,857,748,147,378,906,763,777,4,1000,781,928,628,911,1,220,500,716,193,454,3c6154fddcb5fa3208a3cafdf38a7c16093a19d6,f96f85cd5c9b91b0ef5b3370a880a8bb5b6683a6
2025-05-31T00:40:17.251000+00:00,139.0.7211.0,884,769,758,378,957,947,788,943,1000,937,1000,674,911,733,240,500,729,200,461,141.0a1-nightly,928,971,147,824,964,815,991,4,1000,812,928,954,1000,1,648,816,986,819,987,849,749,147,378,939,763,783,4,1000,781,928,628,911,1,220,500,716,196,454,85aa29ff0b4dbc4f7eff07f723943b126461787f,f96f85cd5c9b91b0ef5b3370a880a8bb5b6683a6
2025-06-01T01:52:01.678000+00:00,139.0.7213.0,892,769,758,378,957,947,788,943,1000,937,1000,674,911,733,236,500,729,200,461,141.0a1-nightly,928,971,147,824,964,815,991,4,1000,812,928,954,1000,1,640,816,986,819,987,857,749,147,378,939,763,783,4,1000,781,928,628,911,1,220,500,716,196,454,a1dcc969c7db5ac73d9b9eeb349949e7e639f3fd,f96f85cd5c9b91b0ef5b3370a880a8bb5b6683a6
2025-06-03T01:43:37.667000+00:00,139.0.7217.0,892,769,758,376,949,947,788,943,1000,937,1000,674,911,733,236,500,729,200,461,141.0a1-nightly,928,971,147,840,956,815,991,4,1000,812,928,954,1000,1,671,816,986,819,987,857,749,147,376,930,763,783,4,1000,781,928,628,911,1,224,500,716,196,454,3c02617a2b7d810a863d96ac8f562f618bdf6350,f96f85cd5c9b91b0ef5b3370a880a8bb5b6683a6
2025-06-12T00:28:17.563000+00:00,139.0.7234.0,892,770,758,376,957,947,788,945,1000,937,1000,674,911,733,236,500,851,200,485,141.0a1-nightly,988,971,147,840,972,815,1000,4,1000,812,892,954,1000,1,678,816,974,350,987,880,750,147,376,947,763,788,4,1000,781,892,628,911,1,228,500,826,196,472,34280863512ca14aa9e96cd151501fea5c0e3556,f96f85cd5c9b91b0ef5b3370a880a8bb5b6683a6
2025-06-14T02:16:11.253000+00:00,139.0.7238.0,892,769,758,376,957,947,788,945,1000,937,1000,674,911,733,236,500,851,200,485,141.0a1-nightly,988,971,147,840,972,815,1000,4,1000,812,892,954,1000,1,678,816,974,819,987,880,749,147,376,947,763,788,4,1000,781,892,628,911,1,224,500,826,196,472,e8d5e5d8541bdca68774040dd9c12e41b52d0732,f96f85cd5c9b91b0ef5b3370a880a8bb5b6683a6
2025-06-27T01:53:01.447000+00:00,140.0.7263.0,869,773,758,376,957,1000,788,945,1000,937,1000,674,911,733,243,500,851,200,485,142.0a1-nightly,988,971,147,898,973,815,1000,4,1000,812,892,954,1000,971,732,816,974,837,987,857,753,147,376,948,815,788,4,1000,781,892,628,911,728,227,500,826,196,472,96f7e9c41696896c8670b9aa934a49b6da33100f,f96f85cd5c9b91b0ef5b3370a880a8bb5b6683a6
2025-06-28T01:17:57.294000+00:00,140.0.7265.0,892,774,758,376,957,1000,788,945,1000,937,1000,674,911,733,243,500,851,200,485,142.0a1-nightly,988,971,147,898,973,815,1000,4,1000,812,892,954,1000,971,732,816,974,837,987,880,753,147,376,948,815,788,4,1000,781,892,628,911,728,227,500,826,196,472,fd824c06162e4508f216120d01e949c2cc447100,f96f85cd5c9b91b0ef5b3370a880a8bb5b6683a6
2025-07-05T01:11:08.580000+00:00,140.0.7277.0,908,774,758,376,957,1000,788,945,1000,937,1000,674,911,733,244,500,863,200,485,142.0a1-nightly,964,973,147,971,973,815,1000,4,1000,812,964,954,1000,971,743,1000,986,837,987,873,755,147,376,948,815,788,4,1000,781,964,628,911,728,228,500,850,196,472,b281d07f3ead48995b9a2e94259d292e22cd5dd9,f96f85cd5c9b91b0ef5b3370a880a8bb5b6683a6
2025-07-12T01:46:07.949000+00:00,140.0.7291.0,884,775,760,376,957,1000,833,945,1000,937,1000,674,911,733,244,500,863,200,485,142.0a1-nightly,988,973,147,1000,973,815,1000,4,1000,812,964,954,1000,971,743,1000,986,837,987,873,756,147,376,948,815,833,4,1000,781,964,628,911,728,228,500,850,196,472,4424f5958b96b8efe206319512c3226bcf7cef51,f96f85cd5c9b91b0ef5b3370a880a8bb5b6683a6
2025-08-20T02:15:43.735000+00:00,141.0.7367.0,884,774,739,376,949,1000,833,940,1000,967,1000,617,1000,733,244,500,863,200,485,144.0a1-nightly,988,985,147,1000,973,978,1000,4,1000,900,964,954,1000,971,804,1000,986,794,987,873,763,147,376,939,978,833,4,1000,868,964,571,1000,728,224,500,850,196,472,6b05e1defbdcc3483c36525ebdf5e2a47ec24218,f96f85cd5c9b91b0ef5b3370a880a8bb5b6683a6
2025-08-24T16:50:39.121000+00:00,141.0.7375.0,892,773,743,376,957,1000,798,942,1000,967,1000,571,1000,728,244,500,863,200,485,144.0a1-nightly,988,985,147,1000,973,978,1000,4,1000,900,964,954,1000,966,850,1000,986,812,987,880,763,147,376,948,978,798,4,1000,868,964,526,1000,724,232,500,850,196,472,701d395a621b9428046b25c098579180e879a01d,f96f85cd5c9b91b0ef5b3370a880a8bb5b6683a6
2025-08-28T00:52:03.496000+00:00,141.0.7380.0,892,774,744,376,966,1000,798,939,1000,967,1000,617,1000,750,244,500,863,215,485,144.0a1-nightly,988,985,147,1000,973,978,1000,4,1000,900,964,954,1000,966,854,1000,986,837,987,880,763,147,376,956,978,798,4,1000,868,964,571,1000,724,236,500,850,212,472,24234ae57b11711d1883c84defd412bc739bf5de,f96f85cd5c9b91b0ef5b3370a880a8bb5b6683a6
2025-09-08T02:15:06.519000+00:00,142.0.7402.0,916,770,749,376,966,1000,798,937,1000,967,1000,617,1000,750,244,500,863,215,485,144.0a1-nightly,988,985,147,1000,973,978,1000,4,1000,900,964,954,1000,966,850,1000,986,837,987,904,760,147,376,956,978,798,4,1000,868,964,571,1000,724,236,500,850,212,472,9394077edeaa8bde7b666cb16bda9f6ee12b1ed6,f96f85cd5c9b91b0ef5b3370a880a8bb5b6683a6
2025-09-10T01:57:13.269000+00:00,142.0.7405.0,916,772,753,376,957,1000,798,942,1000,967,1000,617,1000,750,244,500,863,215,485,144.0a1-nightly,988,985,147,1000,973,978,1000,4,1000,927,964,954,1000,966,854,1000,986,914,987,904,762,147,376,948,978,798,4,1000,894,964,571,1000,724,239,500,850,212,472,7b8cf4a0bcbbce90869b96dbeb7e9790c19355c1,f96f85cd5c9b91b0ef5b3370a880a8bb5b6683a6
2025-09-12T02:05:25.851000+00:00,142.0.7410.0,916,775,749,362,957,1000,798,940,1000,962,1000,617,1000,750,244,500,863,215,485,144.0a1-nightly,988,985,147,1000,973,978,1000,4,1000,936,964,954,1000,966,858,1000,986,863,987,904,765,147,362,948,978,798,4,1000,901,964,571,1000,724,240,500,850,212,472,c3fd99b10876a55aad00561046839510ca15045b,f96f85cd5c9b91b0ef5b3370a880a8bb5b6683a6
2025-09-13T01:58:56.603000+00:00,142.0.7411.0,920,774,753,362,957,1000,798,939,1000,962,1000,617,1000,750,244,500,863,215,485,144.0a1-nightly,988,985,147,1000,973,978,1000,4,1000,936,964,920,1000,966,854,1000,986,889,987,908,764,147,362,948,978,798,4,1000,901,964,549,1000,724,236,500,850,212,472,fd7ac17ccd14ba766a98f10da27adfe44e95a093,f96f85cd5c9b91b0ef5b3370a880a8bb5b6683a6
